É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/02/18 17:25:54

,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs
,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs
îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé)
,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
1980/1/1,9.2,8,1,1.3,8,1,5.3,8,1
1980/1/2,9.1,8,1,0.2,8,1,5.8,8,1
1980/1/3,16.3,8,1,7.6,8,1,11.4,8,1
1980/1/4,11.2,8,1,7.2,8,1,9.7,8,1
1980/1/5,7.6,8,1,0.4,8,1,4.7,8,1
1980/1/6,6.5,8,1,-1.3,8,1,3.1,8,1
1980/1/7,6.4,8,1,0.1,8,1,3.2,8,1
1980/1/8,6.6,8,1,-1.3,8,1,2.1,8,1
1980/1/9,5.2,8,1,-0.7,8,1,1.9,8,1
1980/1/10,9.4,8,1,1.4,8,1,4.4,8,1
1980/1/11,6.8,8,1,0.7,8,1,3.5,8,1
1980/1/12,9.1,8,1,0.3,8,1,4.9,8,1
1980/1/13,6.3,8,1,1.9,8,1,4.1,8,1
1980/1/14,6.7,8,1,0.3,8,1,3.3,8,1
1980/1/15,7.0,8,1,-1.7,8,1,2.1,8,1
1980/1/16,7.8,8,1,-1.4,8,1,2.7,8,1
1980/1/17,6.4,8,1,-2.5,8,1,1.0,8,1
1980/1/18,4.3,8,1,-3.7,8,1,0.0,8,1
1980/1/19,6.7,8,1,-2.4,8,1,2.2,8,1
1980/1/20,10.1,8,1,-0.3,8,1,4.0,8,1
1980/1/21,7.2,8,1,-0.8,8,1,2.1,8,1
1980/1/22,4.3,8,1,-2.0,8,1,0.6,8,1
1980/1/23,7.9,8,1,-1.4,8,1,3.1,8,1
1980/1/24,8.2,8,1,0.8,8,1,4.0,8,1
1980/1/25,7.1,8,1,-0.6,8,1,2.5,8,1
1980/1/26,10.0,8,1,-1.8,8,1,3.1,8,1
1980/1/27,10.3,8,1,-0.9,8,1,4.7,8,1
1980/1/28,16.8,8,1,2.1,8,1,10.6,8,1
1980/1/29,13.4,8,1,9.0,8,1,10.8,8,1
1980/1/30,11.9,8,1,2.6,8,1,8.8,8,1
1980/1/31,5.2,8,1,-0.9,8,1,1.2,8,1
