É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/02/18 17:24:09

,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs
,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs
îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé)
,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
1930/1/1,7.4,8,1,-0.4,8,1,3.3,8,1
1930/1/2,5.8,8,1,-2.2,8,1,2.1,8,1
1930/1/3,7.6,8,1,2.6,8,1,4.0,8,1
1930/1/4,6.1,8,1,-0.6,8,1,2.0,8,1
1930/1/5,8.0,8,1,-0.5,8,1,2.7,8,1
1930/1/6,4.9,8,1,-2.2,8,1,1.0,8,1
1930/1/7,6.0,8,1,-3.2,8,1,1.0,8,1
1930/1/8,6.8,8,1,-1.5,8,1,2.1,8,1
1930/1/9,5.4,8,1,-2.0,8,1,0.8,8,1
1930/1/10,8.1,8,1,-4.2,8,1,0.5,8,1
1930/1/11,2.9,8,1,-4.5,8,1,-0.5,8,1
1930/1/12,7.7,8,1,0.0,8,1,2.3,8,1
1930/1/13,10.5,8,1,-3.0,8,1,2.6,8,1
1930/1/14,6.5,8,1,-1.5,8,1,2.8,8,1
1930/1/15,10.3,8,1,0.8,8,1,3.7,8,1
1930/1/16,7.1,8,1,0.5,8,1,4.3,8,1
1930/1/17,11.1,8,1,2.7,8,1,5.9,8,1
1930/1/18,9.1,8,1,0.3,8,1,3.9,8,1
1930/1/19,4.9,8,1,-0.9,8,1,1.8,8,1
1930/1/20,7.9,8,1,-3.5,8,1,1.4,8,1
1930/1/21,9.5,8,1,-1.9,8,1,2.7,8,1
1930/1/22,4.0,8,1,-2.9,8,1,0.7,8,1
1930/1/23,10.8,8,1,-1.8,8,1,2.8,8,1
1930/1/24,10.5,8,1,-2.0,8,1,2.2,8,1
1930/1/25,7.5,8,1,0.9,8,1,3.5,8,1
1930/1/26,7.7,8,1,0.4,8,1,3.7,8,1
1930/1/27,11.0,8,1,-0.2,8,1,4.2,8,1
1930/1/28,7.3,8,1,0.2,8,1,4.1,8,1
1930/1/29,12.6,8,1,3.1,8,1,5.9,8,1
1930/1/30,7.8,8,1,1.8,8,1,4.4,8,1
1930/1/31,9.4,8,1,-1.0,8,1,2.9,8,1
